구,동,아파트명,세대수,준공년월,공급면적(㎡),전용면적(㎡),공급면적(평),KB매매시세(만원),KB매매시세,매매상한가(만원),매매하한가(만원),도로명주소,단지ID
은평구,불광동,북한산힐스테이트7차,882,2011.07,168.50,141.97,50.97,145000,"14억 5,000만 원",150000,141000,서울특별시 은평구 통일로 796,16137
은평구,수색동,DMC에스케이뷰,753,2023.08,117.52,84.99,35.55,140000,14억,145000,135000,서울특별시 은평구 수색로 216,44705
은평구,수색동,DMC에스케이뷰,753,2023.08,117.66,84.99,35.59,140000,14억,145000,135000,서울특별시 은평구 수색로 216,44705
은평구,수색동,DMC에스케이뷰,753,2023.08,118.36,84.99,35.80,140000,14억,145000,135000,서울특별시 은평구 수색로 216,44705
은평구,수색동,DMC에스케이뷰,753,2023.08,114.32,84.99,34.58,152500,"15억 2,500만 원",157500,147500,서울특별시 은평구 수색로 216,44705
은평구,수색동,DMC에스케이뷰,753,2023.08,117.72,84.99,35.61,152500,"15억 2,500만 원",157500,147500,서울특별시 은평구 수색로 216,44705
은평구,수색동,DMC파인시티자이,1223,2025.07,112.41,84.94,34.00,148000,"14억 8,000만 원",152500,140000,서울특별시 은평구 은평터널로 15,321071
은평구,수색동,DMC파인시티자이,1223,2025.07,113.60,84.97,34.36,148000,"14억 8,000만 원",152500,140000,서울특별시 은평구 은평터널로 15,321071
은평구,수색동,DMC파인시티자이,1223,2025.07,113.83,84.96,34.43,148000,"14억 8,000만 원",152500,140000,서울특별시 은평구 은평터널로 15,321071
은평구,수색동,DMC파인시티자이,1223,2025.07,113.98,84.98,34.47,148000,"14억 8,000만 원",152500,140000,서울특별시 은평구 은평터널로 15,321071
은평구,응암동,녹번역e편한세상캐슬,2569,2021.05,110.65,84.98,33.47,147500,"14억 7,500만 원",151400,142500,서울특별시 은평구 은평로 220,39550
은평구,응암동,녹번역e편한세상캐슬,2569,2021.05,113.40,84.97,34.30,147500,"14억 7,500만 원",151400,142500,서울특별시 은평구 은평로 220,39550
은평구,응암동,녹번역e편한세상캐슬,2569,2021.05,114.44,84.94,34.61,147500,"14억 7,500만 원",151400,142500,서울특별시 은평구 은평로 220,39550
은평구,응암동,녹번역e편한세상캐슬,2569,2021.05,115.62,84.92,34.97,147500,"14억 7,500만 원",151400,142500,서울특별시 은평구 은평로 220,39550
은평구,응암동,녹번역e편한세상캐슬,2569,2021.05,129.27,99.76,39.10,155000,"15억 5,000만 원",160000,147500,서울특별시 은평구 은평로 220,39550
은평구,응암동,힐스테이트녹번역,879,2022.10,108.92,84.99,32.94,140000,14억,147500,132500,서울특별시 은평구 은평로 240,43930
은평구,응암동,힐스테이트녹번역,879,2022.10,109.63,84.99,33.16,140000,14억,147500,132500,서울특별시 은평구 은평로 240,43930
은평구,응암동,힐스테이트녹번역,879,2022.10,110.06,84.99,33.29,140000,14억,147500,132500,서울특별시 은평구 은평로 240,43930
은평구,응암동,힐스테이트녹번역,879,2022.10,110.29,84.99,33.36,140000,14억,147500,132500,서울특별시 은평구 은평로 240,43930
은평구,응암동,힐스테이트녹번역,879,2022.10,111.26,84.99,33.65,140000,14억,147500,132500,서울특별시 은평구 은평로 240,43930
은평구,응암동,힐스테이트녹번역,879,2022.10,113.02,84.99,34.18,140000,14억,147500,132500,서울특별시 은평구 은평로 240,43930
은평구,증산동,DMC센트럴자이,1388,2023.01,81.77,59.97,24.73,145000,"14억 5,000만 원",149500,140000,서울특별시 은평구 수색로 200,324604
은평구,증산동,DMC센트럴자이,1388,2023.01,81.90,59.67,24.77,145000,"14억 5,000만 원",149500,140000,서울특별시 은평구 수색로 200,324604
은평구,증산동,DMC센트럴자이,1388,2023.01,82.96,59.96,25.09,145000,"14억 5,000만 원",149500,140000,서울특별시 은평구 수색로 200,324604
은평구,증산동,DMC센트럴자이,1388,2023.01,83.92,59.97,25.38,145000,"14억 5,000만 원",149500,140000,서울특별시 은평구 수색로 200,324604
은평구,증산동,DMC센트럴자이,1388,2023.01,99.91,74.78,30.22,152500,"15억 2,500만 원",157500,147500,서울특별시 은평구 수색로 200,324604
은평구,진관동,은평뉴타운마고정(동부센트레빌3단지),659,2009.11,209.08,167.14,63.24,142500,"14억 2,500만 원",150500,137500,서울특별시 은평구 진관2로 90,21747
은평구,진관동,은평뉴타운마고정11단지,469,2009.11,215.28,167.49,65.12,145000,"14억 5,000만 원",152500,137500,서울특별시 은평구 진관1로 55,21749
은평구,진관동,은평뉴타운마고정11단지,469,2009.11,215.32,167.49,65.13,145000,"14억 5,000만 원",152500,137500,서울특별시 은평구 진관1로 55,21749
은평구,진관동,은평뉴타운마고정2단지,434,2009.11,209.28,167.14,63.30,149500,"14억 9,500만 원",154000,143500,서울특별시 은평구 진관2로 60,21743
일산동구,식사동,위시티일산자이4단지,1288,2010.08,276.41,240.18,83.61,140000,14억,144000,127500,경기도 고양시 일산동구 위시티4로 45,16184
